,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
57,HV Patel,2021-2022,7,2,1,19,18,19.00,12,158.33,0,0,0,2,1
58,MM Patel,2011-2011,3,1,0,0,0,0.00,1,0.00,0,0,1,0,0
59,PA Patel,2011-2011,2,2,0,36,26,18.00,32,112.50,0,0,0,4,1
60,IK Pathan,2006-2012,24,14,7,172,33*,24.57,144,119.44,0,0,0,9,7
61,YK Pathan,2007-2012,22,18,5,236,37*,18.15,161,146.58,0,0,3,11,17
62,AM Rahane,2011-2016,20,20,2,375,61,20.83,331,113.29,0,1,2,32,6
63,KL Rahul,2016-2021,56,52,7,1831,110*,40.68,1285,142.49,2,16,4,164,73
64,SK Raina,2006-2018,78,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58
65,N Rana,2021-2021,2,2,0,15,9,7.50,27,55.55,0,0,0,0,0
66,Ravi Bishnoi,2022-2022,3,-,-,-,-,-,-,-,-,-,-,-,-
67,AT Rayudu,2014-2016,6,5,1,42,20,10.50,50,84.00,0,0,2,5,0
68,NA Saini,2019-2021,11,3,3,12,11*,-,11,109.09,0,0,0,2,0
69,C Sakariya,2021-2021,2,1,1,5,5*,-,9,55.55,0,0,0,0,0
70,SV Samson,2015-2022,12,11,0,156,39,14.18,131,119.08,0,0,1,7,8
71,Sandeep Sharma,2015-2015,2,1,1,1,1*,-,1,100.00,0,0,0,0,0
72,S Sandeep Warrier,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-
73,V Sehwag,2006-2012,19,18,0,394,68,21.88,271,145.38,0,2,1,43,16
74,V Shankar,2018-2019,9,4,0,101,43,25.25,73,138.35,0,0,0,11,5
75,I Sharma,2008-2013,14,3,2,8,5*,8.00,9,88.88,0,0,1,1,0
76,KV Sharma,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
77,MM Sharma,2014-2015,8,2,2,3,3*,-,7,42.85,0,0,0,0,0
78,R Sharma,2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
79,RG Sharma,2007-2022,124,116,15,3308,118,32.75,2365,139.87,4,26,7,292,155
80,PP Shaw,2021-2021,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0
81,RP Singh,2007-2009,10,2,2,3,2*,-,3,100.00,0,0,0,0,0
82,BB Sran,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,-
83,S Sreesanth,2006-2008,10,3,2,20,19*,20.00,14,142.85,0,0,1,4,0
84,SR Tendulkar,2006-2006,1,1,0,10,10,10.00,12,83.33,0,0,0,2,0
85,SN Thakur,2018-2022,25,6,3,69,22*,23.00,38,181.57,0,0,2,5,4
86,MK Tiwary,2011-2012,3,1,0,15,15,15.00,17,88.23,0,0,0,0,0
87,S Tyagi,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-
88,JD Unadkat,2016-2018,10,-,-,-,-,-,-,-,-,-,-,-,-
89,RV Uthappa,2007-2015,13,12,2,249,50,24.90,211,118.00,0,1,1,26,6
90,CV Varun,2021-2021,6,1,0,0,0,0.00,2,0.00,0,0,1,0,0
91,M Vijay,2010-2015,9,9,0,169,48,18.77,154,109.74,0,0,1,13,8
92,R Vinay Kumar,2010-2013,9,1,1,2,2*,-,4,50.00,0,0,0,0,0
93,Washington Sundar,2017-2021,31,11,4,47,14*,6.71,32,146.87,0,0,3,4,3
94,SA Yadav,2021-2022,14,12,3,351,65,39.00,212,165.56,0,4,1,32,20
95,UT Yadav,2012-2019,7,1,0,2,2,2.00,4,50.00,0,0,0,0,0
96,Yuvraj Singh,2007-2017,58,51,9,1177,77*,28.02,863,136.38,0,8,1,77,74
